UserId	CheckinTime	VenueId	VenueType	X	Y
190	2019-07-06T08:45:00	106	Apartment	6878.163689807283	204.70898844575822
191	2019-07-06T08:45:00	321	Apartment	2741.348340912951	7250.809269783389
199	2019-07-06T08:45:00	450	Workplace	-2313.3087581926916	6241.343753681172
225	2019-07-06T08:45:00	409	Apartment	-3858.4811008848105	5768.177591836612
64	2019-07-06T08:50:00	149	Restaurant	3214.831164254914	1854.2532487275216
93	2019-07-06T08:50:00	178	Apartment	941.1038234624111	5431.988118285431
110	2019-07-06T08:50:00	199	Apartment	-279.3359013640801	6624.773212476495
143	2019-07-06T08:50:00	383	Apartment	-2672.8132720362482	6423.790869673336
211	2019-07-06T08:50:00	223	Pub	409.366639029351	4737.119867861318
17	2019-07-06T08:55:00	16	Apartment	-2587.277556111565	3021.642846642426
19	2019-07-06T08:55:00	248	Apartment	3976.981842127272	3085.477354884183
54	2019-07-06T08:55:00	298	Pub	4171.157508848106	2832.550929200438
57	2019-07-06T08:55:00	298	Pub	4171.157508848106	2832.550929200438
62	2019-07-06T08:55:00	149	Restaurant	3214.831164254914	1854.2532487275216
100	2019-07-06T08:55:00	170	Apartment	451.12027295377976	6713.524138358897
109	2019-07-06T08:55:00	398	Apartment	-1900.9630540617916	5372.2176305454495
114	2019-07-06T08:55:00	298	Pub	4171.157508848106	2832.550929200438
130	2019-07-06T08:55:00	298	Pub	4171.157508848106	2832.550929200438
226	2019-07-06T08:55:00	1	Apartment	3442.0442077054204	3451.4723970868263
246	2019-07-06T08:55:00	456	Restaurant	-4521.189679594014	4847.099060257379
27	2019-07-06T09:00:00	223	Pub	409.366639029351	4737.119867861318
49	2019-07-06T09:00:00	80	Apartment	2792.1649706923727	1107.9036551097925
124	2019-07-06T09:00:00	73	Pub	2115.0617755277826	2662.7099618813054
156	2019-07-06T09:00:00	455	Pub	-4208.95825391248	5444.842765370748
157	2019-07-06T09:00:00	73	Pub	2115.0617755277826	2662.7099618813054
172	2019-07-06T09:00:00	455	Pub	-4208.95825391248	5444.842765370748
225	2019-07-06T09:00:00	455	Pub	-4208.95825391248	5444.842765370748
6	2019-07-06T09:05:00	223	Pub	409.366639029351	4737.119867861318
53	2019-07-06T09:05:00	298	Pub	4171.157508848106	2832.550929200438
56	2019-07-06T09:05:00	160	Apartment	59.51763862600932	6789.881699903528
82	2019-07-06T09:05:00	171	Apartment	-489.0235047050107	6628.304727444942
91	2019-07-06T09:05:00	223	Pub	409.366639029351	4737.119867861318
163	2019-07-06T09:05:00	224	Restaurant	72.06290852190406	5235.805434177497
204	2019-07-06T09:05:00	455	Pub	-4208.95825391248	5444.842765370748
244	2019-07-06T09:05:00	439	Apartment	-4232.90762944135	5552.895895122063
13	2019-07-06T09:10:00	42	Apartment	-2526.61069363329	4638.726565180513
16	2019-07-06T09:10:00	17	Apartment	824.0640427902777	2820.500827350321
68	2019-07-06T09:10:00	149	Restaurant	3214.831164254914	1854.2532487275216
84	2019-07-06T09:10:00	179	Apartment	18.57803955182886	6035.647163851025
247	2019-07-06T09:10:00	422	Apartment	-2197.807286700088	5800.1163251031885
39	2019-07-06T09:15:00	56	Apartment	-1980.0088291316638	4510.611464595902
132	2019-07-06T09:15:00	54	Apartment	3629.765086848376	3452.9866385017003
202	2019-07-06T09:15:00	455	Pub	-4208.95825391248	5444.842765370748
213	2019-07-06T09:15:00	149	Restaurant	3214.831164254914	1854.2532487275216
221	2019-07-06T09:15:00	455	Pub	-4208.95825391248	5444.842765370748
244	2019-07-06T09:15:00	455	Pub	-4208.95825391248	5444.842765370748
31	2019-07-06T09:20:00	57	Apartment	-1970.27610032558	2530.2140351451935
108	2019-07-06T09:20:00	73	Pub	2115.0617755277826	2662.7099618813054
119	2019-07-06T09:20:00	298	Pub	4171.157508848106	2832.550929200438
127	2019-07-06T09:20:00	79	Apartment	6927.903267594957	1790.735840813456
131	2019-07-06T09:20:00	223	Pub	409.366639029351	4737.119867861318
134	2019-07-06T09:20:00	223	Pub	409.366639029351	4737.119867861318
175	2019-07-06T09:20:00	373	Pub	2134.8180662065633	7855.141309104324
189	2019-07-06T09:20:00	34	Apartment	-3243.683146903393	2717.859645161412
30	2019-07-06T09:25:00	381	Apartment	-4273.544752109074	6754.563308360403
34	2019-07-06T09:25:00	24	Apartment	-2254.6259601531965	2641.733703580754
89	2019-07-06T09:25:00	455	Pub	-4208.95825391248	5444.842765370748
107	2019-07-06T09:25:00	373	Pub	2134.8180662065633	7855.141309104324
118	2019-07-06T09:25:00	298	Pub	4171.157508848106	2832.550929200438
207	2019-07-06T09:25:00	430	Apartment	-4596.897951137653	6679.824774239218
226	2019-07-06T09:25:00	73	Pub	2115.0617755277826	2662.7099618813054
11	2019-07-06T09:30:00	46	Apartment	779.7921005011174	1991.5477099215373
19	2019-07-06T09:30:00	73	Pub	2115.0617755277826	2662.7099618813054
23	2019-07-06T09:30:00	38	Apartment	-2055.570417818639	2434.557569227129
37	2019-07-06T09:30:00	60	Apartment	-291.7664285319842	3205.5657693440535
109	2019-07-06T09:30:00	455	Pub	-4208.95825391248	5444.842765370748
133	2019-07-06T09:30:00	298	Pub	4171.157508848106	2832.550929200438
171	2019-07-06T09:30:00	298	Pub	4171.157508848106	2832.550929200438
188	2019-07-06T09:30:00	455	Pub	-4208.95825391248	5444.842765370748
12	2019-07-06T09:35:00	298	Pub	4171.157508848106	2832.550929200438
49	2019-07-06T09:35:00	73	Pub	2115.0617755277826	2662.7099618813054
64	2019-07-06T09:35:00	87	Apartment	3249.233078541828	-49.491558434686326
77	2019-07-06T09:35:00	97	Apartment	6680.051241751471	-477.63450912638893
79	2019-07-06T09:35:00	223	Pub	409.366639029351	4737.119867861318
81	2019-07-06T09:35:00	373	Pub	2134.8180662065633	7855.141309104324
105	2019-07-06T09:35:00	73	Pub	2115.0617755277826	2662.7099618813054
153	2019-07-06T09:35:00	373	Pub	2134.8180662065633	7855.141309104324
245	2019-07-06T09:35:00	336	Apartment	2581.2528957986997	4053.6410423050174
249	2019-07-06T09:35:00	84	Apartment	7379.317076873492	964.8644255930471
63	2019-07-06T09:40:00	223	Pub	409.366639029351	4737.119867861318
123	2019-07-06T09:40:00	455	Pub	-4208.95825391248	5444.842765370748
132	2019-07-06T09:40:00	298	Pub	4171.157508848106	2832.550929200438
139	2019-07-06T09:40:00	374	Restaurant	3457.9857195275254	4293.203806306731
182	2019-07-06T09:40:00	361	Apartment	2348.6810846112003	7992.6424386231765
8	2019-07-06T09:45:00	302	Apartment	1676.6866746581009	7147.403244929748
141	2019-07-06T09:45:00	298	Pub	4171.157508848106	2832.550929200438
162	2019-07-06T09:45:00	227	Apartment	3236.653237074842	3828.684578519004
184	2019-07-06T09:45:00	373	Pub	2134.8180662065633	7855.141309104324
2	2019-07-06T09:50:00	455	Pub	-4208.95825391248	5444.842765370748
13	2019-07-06T09:50:00	455	Pub	-4208.95825391248	5444.842765370748
24	2019-07-06T09:50:00	73	Pub	2115.0617755277826	2662.7099618813054
28	2019-07-06T09:50:00	57	Apartment	-1970.27610032558	2530.2140351451935
60	2019-07-06T09:50:00	298	Pub	4171.157508848106	2832.550929200438
75	2019-07-06T09:50:00	137	Apartment	4932.536006980914	-430.16638959616904
95	2019-07-06T09:50:00	298	Pub	4171.157508848106	2832.550929200438
121	2019-07-06T09:50:00	73	Pub	2115.0617755277826	2662.7099618813054
126	2019-07-06T09:50:00	455	Pub	-4208.95825391248	5444.842765370748
